title,keyword,category,subcategory,predication,departmenet
주차차단기 사업자선정지침위반을 신고합니다.,"['주차차단기', '사업자선정지침위반']",경제,기타,요청/개선,건축허가과
주차차단기 사업자선정지침위반에 대해 조치를 요청합니다.,"['주차차단기', '사업자선정지침위반']",경제,기타,요청/개선,건축허가과
주차차단기 사업자선정지침위반을 신고합니다. 과태료 부과 바랍니다.,"['주차차단기', '사업자선정지침위반']",경제,기타,요청/개선,건축허가과
주차차단기 사업자선정지침위반을 신고합니다. 과태료 처리 해주세요.,"['주차차단기', '사업자선정지침위반']",경제,기타,요청/개선,건축허가과
주차차단기 사업자선정지침위반을 제보하니 단속해주십시오.,"['주차차단기', '사업자선정지침위반']",경제,기타,요청/개선,건축허가과
"창원시의 #@소속# 한#@이름#선생님을 고발하고 싶어요. 적게는 10만 원, 많게는 50만 원 정도의 수수료를 부당하게 받으면서 취업 알선 은행 거래 등 업무를 봐준다고 합니다. 조치해 주세요.","['창원시', '선생님', '수수료', '부당', '취업', '알선', '은행', '거래', '업무']",경제,기타,요청/개선,경제기업사랑과
창원시 #@소속# 한#@이름#선생님의 부당 행위를 고발합니다. 10만 원에서 50만 원까지 수수료를 부당하게 받으면서 업무를 봐준다고 하니 확실한 조치 바랍니다.,"['창원시', '선생님', '수수료', '부당', '업무']",경제,기타,요청/개선,경제기업사랑과
창원시 #@소속# 한#@이름#선생님이 부당하게 돈을 받으며 취업 알선 등을 해준다고 합니다. 행정지도와 법적 조치를 요청합니다.,"['창원시', '선생님', '부당', '취업', '알선']",경제,기타,요청/개선,경제기업사랑과
집주소가 진해구 #@주소#입니다. 현재 도시가스 및 상수도 연결이 되어있지 않아 매우 불편합니다. 처리 요청합니다.,"['진해구', '도시가스', '상수도', '연결']",경제,기타,요청/개선,경제교통과
집주소가 진해구 #@주소#입니다. 현재 도시가스 및 상수도 연결이 되어있지 않아 매우 불편합니다. 처리해 주세요.,"['진해구', '도시가스', '상수도', '연결']",경제,기타,요청/개선,경제교통과
도시가스와 상수도 연결을 요청드립니다. 진해구 #@주소#이고 빠른 처리 부탁드립니다.,"['진해구', '도시가스', '상수도', '연결']",경제,기타,요청/개선,경제교통과
집주소가 진해구 #@주소#입니다. 현재 도시가스 및 상수도 연결이 되어있지 않아 매우 불편합니다. 처리해 주십시오.,"['진해구', '도시가스', '상수도', '연결']",경제,기타,요청/개선,경제교통과
진해구 #@주소#에 도시가스와 상수도 연결이 안 되어 조치를 요청합니다. 조속히 불편을 해결해주십시오.,"['진해구', '도시가스', '상수도', '연결']",경제,기타,요청/개선,경제교통과
공정위 조회 사이트에서 사업자 번호로 상호명 검색이 불가합니다. 수정 요청 드리면 언제 처리가 가능할까요?,"['상호명', '언제']",경제,기타,요청/개선,경제교통과
